date,availability
2020/12/10,46.16923
2020/12/11,45.31059
2020/12/12,46.15588
2020/12/13,46.45292
2020/12/14,45.95917
2020/12/15,47.23125
2020/12/16,46.61285
2020/12/17,42.21448
2020/12/18,48.43849
2020/12/19,46.98859
2020/12/20,48.17261
2020/12/21,49.15414
2020/12/22,49.65333
2020/12/23,50.56251
2020/12/24,50.07415
2020/12/25,49.37973
2020/12/26,49.49963
2020/12/27,48.04917
2020/12/28,48.61907
2020/12/29,50.44031
2020/12/30,50.475
2020/12/31,50.76729
2021/01/01,51.18546
2021/01/02,51.755
2021/01/03,51.74869
2021/01/04,51.815
2021/01/05,51.82375
2021/01/06,52.14271
2021/01/07,52.29
2021/01/08,52.29
2021/01/09,52.27725
2021/01/10,52.29
2021/01/11,52.29
2021/01/12,51.82703
2021/01/13,50.94208
2021/01/14,52.12675
2021/01/15,51.981
2021/01/16,50.17726
2021/01/17,50.98642
2021/01/18,51.05847
2021/01/19,49.10132
2021/01/20,50.50737
2021/01/21,49.17895
2021/01/22,49.65084
2021/01/23,51.0576
2021/01/24,51.59083
2021/01/25,50.13323
2021/01/26,49.97737
2021/01/27,50.71891
2021/01/28,49.87698
2021/01/29,49.32157
2021/01/30,47.19687
2021/01/31,48.62215
2021/02/01,49.95542
2021/02/02,50.23851
2021/02/03,50.13847
2021/02/04,50.35088
2021/02/05,50.5949
2021/02/06,48.5075
2021/02/07,47.92116
2021/02/08,48.01708
2021/02/09,48.76584
2021/02/10,48.19648
2021/02/11,48.54991
2021/02/12,47.96837
2021/02/13,46.28042
2021/02/14,45.79414
2021/02/15,45.41268
2021/02/16,45.515
2021/02/17,45.15729
2021/02/18,45.08296
2021/02/19,44.59802
2021/02/20,43.09716
2021/02/21,42.53734
2021/02/22,43.64043
2021/02/23,44.39104
2021/02/24,44.595
2021/02/25,44.57177
2021/02/26,44.44396
2021/02/27,42.45524
2021/02/28,40.65213
2021/03/01,40.36854
2021/03/02,41.26833
2021/03/03,42.67
2021/03/04,43.415
2021/03/05,43.035
2021/03/06,43.75916
2021/03/07,44.29542
2021/03/08,44.12723
2021/03/09,43.96508
2021/03/10,44.26792
2021/03/11,44.9279
2021/03/12,45.11135
2021/03/13,43.84966
2021/03/14,44.79778
2021/03/15,45.58083
2021/03/16,45.53
2021/03/17,45.96896
2021/03/18,46.12021
2021/03/19,46.09529
2021/03/20,44.17261
2021/03/21,44.09563
2021/03/22,44.98218
2021/03/23,45.15562
2021/03/24,45.56812
2021/03/25,45.38706
2021/03/26,45.18
2021/03/27,42.02063
2021/03/28,41.53556
2021/03/29,41.73733
2021/03/30,42.31249
2021/03/31,41.98388
2021/04/01,41.66879
2021/04/02,42.36228
2021/04/03,41.24
2021/04/04,40.0191
2021/04/05,38.53633
2021/04/06,39.46376
2021/04/07,39.81167
2021/04/08,38.05625
2021/04/09,39.30933
2021/04/10,38.18375
2021/04/11,38.33667
2021/04/12,38.72875
2021/04/13,38.67336
2021/04/14,38.74719
2021/04/15,39.675
2021/04/16,39.64938
2021/04/17,37.06688
2021/04/18,37.13353
2021/04/19,37.9505
2021/04/20,38.60583
2021/04/21,38.68792
2021/04/22,38.86062
2021/04/23,38.87583
2021/04/24,38.90394
2021/04/25,39.16163
2021/04/26,39.51271
2021/04/27,39.26688
2021/04/28,39.34354
2021/04/29,39.7025
2021/04/30,39.18333
2021/05/01,39.925
2021/05/02,37.23989
2021/05/03,37.56617
2021/05/04,39.09458
2021/05/05,38.94165
2021/05/06,38.47475
2021/05/07,38.9529
2021/05/08,35.86486
2021/05/09,35.39616
2021/05/10,37.71533
2021/05/11,38.39677
2021/05/12,38.92167
2021/05/13,39.30639
2021/05/14,40.265
2021/05/15,40.09261
2021/05/16,39.9904
2021/05/17,39.98219
2021/05/18,40.92958
2021/05/19,42.225
2021/05/20,41.22839
2021/05/21,40.78422
2021/05/22,38.4875
2021/05/23,38.54428
2021/05/24,39.38995
2021/05/25,39.56903
2021/05/26,40.49458
2021/05/27,41.06521
2021/05/28,40.58897
2021/05/29,40.22521
2021/05/30,39.68564
2021/05/31,40.02203
2021/06/01,41.07748
2021/06/02,41.37566
2021/06/03,41.1305
2021/06/04,41.14
2021/06/05,39.85068
2021/06/06,39.61729
2021/06/07,40.48
2021/06/08,41.18354
2021/06/09,41.25167
2021/06/10,41.19033
2021/06/11,41.00352
2021/06/12,40.55404
2021/06/13,40.14273
2021/06/14,40.03942
2021/06/15,39.92696
2021/06/16,39.84071
2021/06/17,39.53092
2021/06/18,38.19988
2021/06/19,37.45487
2021/06/20,39.07038
2021/06/21,40.48651
2021/06/22,40.547
2021/06/23,41.73023
2021/06/24,41.73433
2021/06/25,41.706
2021/06/26,41.37302
2021/06/27,40.92952
2021/06/28,42.2675
2021/06/29,42.46167
2021/06/30,41.51899
2021/07/01,40.15039
2021/07/02,39.9425
2021/07/03,39.64971
2021/07/04,37.87652
2021/07/05,39.84058
2021/07/06,40.85746
